gene_IDs,gene_names,k_score,action
YOR222W,G_YOR222W,0.12375000000000001,KD
YJL200C,G_YJL200C,0.12375000000000001,KD
YKL120W,G_YKL120W,0.066,KD
YDR300C,G_YDR300C,0.0,KO
YFR049W,G_YFR049W,0.0,KO
YAL044C,G_YAL044C,0.0,KO
YLR134W,G_YLR134W,0.0,KO
YOR142W,G_YOR142W,0.0,KO
YNL037C,G_YNL037C,0.0,KO
YOR136W,G_YOR136W,0.0,KO
YLR044C,G_YLR044C,0.0,KO
YDR148C,G_YDR148C,0.0,KO
YDL066W,G_YDL066W,0.0,KO
YKL029C,G_YKL029C,0.0,KO
YDR019C,G_YDR019C,0.0,KO
YMR165C,G_YMR165C,0.0,KO
YGR087C,G_YGR087C,0.0,KO
YMR189W,G_YMR189W,0.0,KO
YOR323C,G_YOR323C,0.0,KO
YIL125W,G_YIL125W,0.0,KO
YGR244C,G_YGR244C,0.0,KO
YDR508C,G_YDR508C,-13.106725734688704,KO
YBR263W,G_YBR263W,-13.106725734688704,KO
YBR291C,G_YBR291C,-16.366781235170016,KO
