gene_IDs,gene_names,k_score,action
YKL184W,,1000.0,OE
YLL028W,,1000.0,OE
YHL016C,,1000.0,OE
YMR009W,,1000.0,OE
YPR069C,,1000.0,OE
YOL052C,,1000.0,OE
YJR024C,,1000.0,OE
YPL274W,,1000.0,OE
YPR118W,,1000.0,OE
YLR209C,,1000.0,OE
YMR278W,,1000.0,OE
YLR017W,,1000.0,OE
YPR160W,,1000.0,OE
YOR273C,,1000.0,OE
YEL038W,,1000.0,OE
YBR132C,,1000.0,OE
YOR388C,,81.88563262817206,OE
YLR258W,,37.18134252903676,OE
YKR058W,,37.18134252903676,OE
YFR015C,,37.18134252903676,OE
YJL137C,,37.18134252903676,OE
YLR180W,,27.11291444829176,OE
YDR502C,,27.11291444829176,OE
YJR105W,,27.11291444829176,OE
YKL029C,,21.342840545872438,OE
YER069W,,20.68037911492303,OE
YOL140W,,20.68037911492303,OE
YMR062C,,20.68037911492303,OE
YOR130C,,20.68037911492303,OE
YPR021C,,11.454201582666123,OE
YKL035W,,9.156567100805944,OE
YHL012W,,9.156567100805944,OE
YML123C,,7.8543259712483335,OE
YNR013C,,7.8543259712483335,OE
YCR037C,,7.8543259712483335,OE
YJL198W,,7.8543259712483335,OE
YBR296C,,7.8543259712483335,OE
YOL126C,,6.790400520663809,OE
YDL066W,,3.8377992497826656,OE
YBR218C,,3.3718765134317796,OE
YGL062W,,3.3718765134317796,OE
YOR375C,,2.3233694130848352,OE
YAL062W,,2.3233694130848352,OE
YNL036W,,2.186588167773428,OE
YGR121C,,2.02231334122532,OE
YPR138C,,2.02231334122532,OE
YNL142W,,2.02231334122532,OE
YDR384C,,2.02231334122532,OE
YOR095C,,1.7609485138428775,OE
YHR183W,,1.1287707087007872,OE
YGR256W,,1.1287707087007872,OE
YHR163W,,1.1287707087007872,OE
YNL241C,,1.1287707087007872,OE
YGR248W,,1.1287707087007872,OE
YNR001C,,1.0135822762014224,OE
YKL085W,,1.0135822762014224,OE
YPR001W,,1.0135822762014224,OE
YMR162C,,0.1729192975316148,KD
YAL026C,,0.1729192975316148,KD
YIL048W,,0.1729192975316148,KD
YNR019W,,0.14602141596034726,KD
YCR048W,,0.14602141596034726,KD
YMR267W,,0.0,KO
YMR165C,,0.0,KO
